date,platform,campaign_id,adset_id,ad_id,campaign_name,adset_name,ad_name,spend,impressions,clicks,conversions,country,objective,campaign_clean,audience,creative_type,year,month
2023-10-01,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,60.04,7600,100,3,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-02,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,196.48,29358,411,4,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-03,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,82.95,12762,206,7,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-04,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,100.95,23315,267,9,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-05,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,74.14,11842,227,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-06,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,136.09,15551,167,4,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-07,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,213.28,45710,652,21,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-08,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,169.1,26677,278,6,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-09,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,99.58,15591,193,6,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-10,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,162.98,29260,435,7,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-11,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,112.45,19506,309,6,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-12,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,113.45,14934,193,7,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-13,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,68.87,8937,116,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-14,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,162.73,24601,319,3,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-15,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,62.98,8345,119,3,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-16,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,192.87,26012,224,4,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-17,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,134.82,26049,510,19,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
